titleFR,titleEN,textFR,textEN,lang,link,src
L'économie bleue,The blue economy,"Une série de visualisations autour de <a href=""http://fra.expo2012.kr/is/ps/unitybbs/bbs/selectBbsDetail.html?ispsBbsId=BBS001&ispsNttId=0000000002"">l'Expo 2012 Yeosu Corée</a>, <i>Pour des côtes et des océans vivants</i>.","A series of visualizations around the <a href=""http://eng.expo2012.kr/main.html?mobile_at=Y"">Expo 2012 Yeosu Korea</a>, <i>The living oceans and coasts</i>.",EN,http://oecdfactblog.org/visualizations/blue,tradechord.png
Un jeu de cubes,A little block game,Un jouet pour expérimenter les interactions de la souris et les transformations de formes à l'écran,A toy to explore various interactions of the mouse and transformations of shapes on screen.,EN,http://jeromecukier.net/stuff/littleblockgame.html,block.png
Celulles rondes,Round cells,"Un hommage génératif à <a href=""http://www.flickr.com/photos/dianalange"">Diana Lange</a>, vue sur <a href=""http://butdoesitfloat.com/The-conscious-emulation-of-life-s-genius-is-a-survival-strategy-for"">bdif</a>","A (generated) hommage to <a href=""http://www.flickr.com/photos/dianalange"">Diana Lange</a> as featured on <a href=""http://butdoesitfloat.com/The-conscious-emulation-of-life-s-genius-is-a-survival-strategy-for"">bdif</a>",EN,http://jeromecukier.net/stuff/bdifvoronoi.html,bdifvoronoi.png
Performances des candidats,Candidates hall of fame,Les candidats aux législatives ont-ils gagné ou perdu du terrain par rapport au score de leur parti à la présidentielle?,Are individual congress candidates doing better than their party ?,FR,http://www.jeromecukier.net/projects/elections/halloffame.html,halloffame.png
Question de valeurs,A matter of values,Une représentation permettant de comparer les valeurs auxquelles sont sensibles les électeurs de différents partis,A way of comparing the values to which respond voters of various political parties,FR,http://www.jeromecukier.net/projects/elections/questio.html,questio.png
Les valeurs dans le temps,Values over time,"En mirroir à <a href=""http://www.jeromecukier.net/projects/elections/questio.html"">Question de valeurs</a>, comment ces valeurs ont évolué dans le temps?","As a follow-up to <a href=""http://www.jeromecukier.net/projects/elections/questio.html"">A matter of values</a>, how have these values evolved over time?",FR,http://www.jeromecukier.net/projects/elections/questio2.html,questio2.png
Décomposition de l'électorat,Decomposing the voters,Ei si seuls les 18-34 ans avait le droit de vote? Ou seulement les femmes? Ou les diplômés? Ou alors tout ça à la fois? Qui serait élu?,What if only young people could vote? Or only women? Or graduates? Or a mix of the above? Which president would be elected?,FR,http://www.jeromecukier.net/projects/elections/filter.html,filter.png
Les vidéos de Khan Academy,Science Maps for Kids: Khan Academy,"Pour l'exposition <em>Science Maps for Kids</em>, j'ai assisté Benjamin Wiederkehr dans la conception de cette affiche.","For the Science Maps for Kids exhibit, I have assisted Benjamin Wiederkehr in the making of this poster.",EN,http://zoom.it/Ru4o,khan.png
Une défaite française,A French fiasco,Une analyse des tweets envoyés par les Français lors du match contre l'Espagne du 23 juin 2012. Ils n'y ont jamais cru.,An analysis of the tweets sent by French supporters during the soccer game against Spain on the 23rd of June 2012. They never believed in a victory.,FR,http://www.jeromecukier.net/projects/defaite/defaite.html,defaite.png
Nuit Blanche, Nuit Blanche, un modèle des déplacements des gens lors de la nuit blanche à Paris, a model of people movement during the Nuit Blanche event in Paris, EN,http://www.jeromecukier.net/projects/models/nuitblanche.html,nuitblanche.png 
les lieux du Trône de Fer, Places in a Game of Thrones, un graphe représentant les lieux de la série le Trône de Fer, a graph representation of the places in the books of the Game of Thrones series,EN,http://www.jeromecukier.net/projects/agot/places.html,agotplaces.png
les évènements du Trône de Fer, Events in a Game of Thrones, évènements et relations entre les personnages du Trône de Fer, events and relationships between characters in a Game of Thrones,EN,http://www.jeromecukier.net/projects/agot/events.html,agotevents.png
Galerie de modèles,A selection of models,Algorithmes pour modèles illustrés,A selection of illustrated simulation models,EN,http://jeromecukier.net/projects/models/models.html,segregate.png
Les Pentes de San Francisco,Slopes of San Francisco,Une carte de San Francisco qui prend en compte la pente des rues,A map of the steep San Francisco streets,EN,http://www.jeromecukier.net/projects/slopes/slopes.html,slopes.png
Palo Alto Networks,Palo Alto Networks,Rapport des Applications et Menaces,Visualization for PAN's <a href="http://researchcenter.paloaltonetworks.com/app-usage-risk-report-visualization/" title="Application Usage and Threat Report" target="_blank">Application Usage &amp; Threat Report</a>,EN,http://researchcenter.paloaltonetworks.com/app-usage-risk-report-visualization/#sthash.P5xktLlY.dpbs,pan.png
